,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare
147,148,3,0.0,9.0,2,2,34.375
659,660,1,1.0,58.0,0,2,113.275
797,798,3,0.0,31.0,0,0,8.6833
858,859,3,0.0,24.0,0,3,19.2583
177,178,1,0.0,50.0,0,0,28.7125
99,100,2,1.0,34.0,1,0,26.0
850,851,3,1.0,4.0,4,2,31.275
448,449,3,0.0,5.0,2,1,19.2583
431,432,3,0.0,28.0,1,0,16.1
847,848,3,1.0,35.0,0,0,7.8958
709,710,3,1.0,28.0,1,1,15.2458
755,756,2,1.0,0.67,1,1,14.5
115,116,3,1.0,21.0,0,0,7.925
777,778,3,0.0,5.0,0,0,12.475
72,73,2,1.0,21.0,0,0,73.5
845,846,3,1.0,42.0,0,0,7.55
537,538,1,0.0,30.0,0,0,106.425
677,678,3,0.0,18.0,0,0,9.8417
849,850,1,0.0,28.0,1,0,89.1042
874,875,2,0.0,28.0,1,0,24.0
174,175,1,1.0,56.0,0,0,30.6958
87,88,3,1.0,28.0,0,0,8.05
551,552,2,1.0,27.0,0,0,26.0
486,487,1,0.0,35.0,1,0,90.0
705,706,2,1.0,39.0,0,0,26.0
314,315,2,1.0,43.0,1,1,26.25
396,397,3,0.0,31.0,0,0,7.8542
600,601,2,0.0,24.0,2,1,27.0
472,473,2,0.0,33.0,1,2,27.75
70,71,2,1.0,32.0,0,0,10.5
599,600,1,1.0,49.0,1,0,56.9292
804,805,3,1.0,27.0,0,0,6.975
754,755,2,0.0,48.0,1,2,65.0
277,278,2,1.0,28.0,0,0,0.0
723,724,2,1.0,50.0,0,0,13.0
9,10,2,0.0,14.0,1,0,30.0708
359,360,3,0.0,28.0,0,0,7.8792
707,708,1,1.0,42.0,0,0,26.2875
763,764,1,0.0,36.0,1,2,120.0
835,836,1,0.0,39.0,1,1,83.1583
192,193,3,0.0,19.0,1,0,7.8542
629,630,3,1.0,28.0,0,0,7.7333
559,560,3,0.0,36.0,1,0,17.4
684,685,2,1.0,60.0,1,1,39.0
